ButtonText,SoundFile
HID,N70dB_HID.wav
HEED,N70dB_HEED.wav
HEAD,N70dB_HEAD.wav
HAD,N70dB_HAD.wav
HARD,N70dB_HARD.wav
HOARD,N70dB_HOARD.wav
HEARD,N70dB_HEARD.wav
WHO'D,N70dB_WHO_D.wav
